lead_days,B_A_base,B_A_us,B_B_base,B_B_us,dcm_pct_base,dcm_pct_us,ratio_B_A,ratio_B_B
2,240136917.41750735,7208721180.625837,343144245.5864057,10302163616.286034,30.018666929083185,30.02711421482348,30.01921261482921,30.0228366023754
5,512072967.3061444,15376104197.0831,1018485138.988826,30599887382.761845,49.72209728906389,49.75110854249391,30.027174209120957,30.044510431582804
10,801437536.7310243,24071200191.34854,2748885143.0326104,82744099521.99527,70.84499733419686,70.90886198483571,30.03502966623241,30.100966470614615
14,937837818.2255151,28171013575.432796,4938004530.573419,148994554703.84274,81.00775703183467,81.09258849665447,30.038257178341592,30.17302916215449
