scenario,avian_included,prob_scenario,lead_days,n_threats,portfolio_ev,cost_per_arriving_flight,expected_deaths_averted_per_year,expected_infections_averted_per_year,flights_per_year,n_total_arrivals_per_day,avg_pax_per_flight,response_modality,vsl,horizon_days,portfolio_view
A_screening_only,False,low,2,4,144521.24265986364,9.898715250675592,0.03384050838583317,1091.6892970268204,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_without_avian
A_screening_only,False,low,5,4,281968.2108480526,19.312891153976203,0.07023105596936945,1441.4870727010477,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_without_avian
A_screening_only,False,low,10,4,432505.63260711305,29.62367346624062,0.11187316685635051,1556.1791798947638,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_without_avian
A_screening_only,False,low,14,4,511715.867042915,35.04903198924075,0.134186161495296,1573.3477846332337,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_without_avian
A_screening_only,False,base,2,4,2544834.739606603,174.3037492881235,0.580974727613447,21824.35816819636,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_without_avian
A_screening_only,False,base,5,4,4884016.591013009,334.5216843159595,1.1950286180296892,28809.5272171014,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_without_avian
A_screening_only,False,base,10,4,7422079.643368533,508.3616194088036,1.896362434627623,31091.668962188996,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_without_avian
A_screening_only,False,base,14,4,8757739.875398118,599.8451969450766,2.2732489991931257,31429.36629925598,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_without_avian
A_screening_only,False,high,2,4,13779577.794351442,943.8066982432495,3.20365540220699,109122.36819704775,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_without_avian
A_screening_only,False,high,5,4,26829383.29479257,1837.6289927940118,6.657287811001127,144048.95423955692,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_without_avian
A_screening_only,False,high,10,4,41269705.46745828,2826.6921553053617,10.659684748737149,155460.62089321663,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_without_avian
A_screening_only,False,high,14,4,48984964.99879823,3355.134588958783,12.838047405477406,157149.67555890695,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_without_avian
A_screening_only,True,low,2,5,378768.609428028,25.94305544027589,0.09980096224563276,1095.3793923476485,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_with_avian
A_screening_only,True,low,5,5,700883.7013770933,48.00573297103379,0.18819341132377918,1448.0863653082874,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_with_avian
A_screening_only,True,low,10,5,966736.6564924779,66.21483948578616,0.2623174423607018,1564.5956428600423,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_with_avian
A_screening_only,True,low,14,5,1074841.057478578,73.61925051223137,0.2927784785489102,1582.2200820907785,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_with_avian
A_screening_only,True,base,2,5,8401018.908810712,575.412254028131,2.2299860741084374,21916.610551217058,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_with_avian
A_screening_only,True,base,5,5,15356903.854239026,1051.8427297423991,4.144087501889931,28974.50953228239,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_with_avian
A_screening_only,True,base,10,5,20777855.24050265,1423.140769897442,5.657469322236404,31302.080536320955,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_with_avian
A_screening_only,True,base,14,5,22835869.636289693,1564.100660019842,6.23805692553348,31651.1737356946,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_with_avian
A_screening_only,True,high,2,5,54772866.97878019,3751.5662314233005,14.746734827671917,109768.13487819265,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_with_avian
A_screening_only,True,high,5,5,100139594.13737468,6858.876310779088,27.300699998022825,145203.83044582387,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_with_avian
A_screening_only,True,high,10,5,134760134.64739713,9230.146208725831,36.98743296199862,156933.50191214037,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_with_avian
A_screening_only,True,high,14,5,147531873.32503927,10104.92283048214,40.59170288985989,158702.3276139773,14600.0,10000,250,High-throughput molecular screening,3500000,365,A_screening_only_with_avian
B_screening_plus_countermeasures,False,low,2,4,211030.70635115122,14.454157969256933,0.04735571248053933,1923.2279218800081,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,low,5,4,510151.48592644493,34.94188259770171,0.12453970869046319,2951.1543232630916,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,low,10,4,1156870.5571946895,79.23770939689655,0.30079253512985504,3554.9537725354776,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,low,14,4,1906475.0627342567,130.5804837489217,0.507969935946762,3725.902254977618,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,base,2,4,3750318.2456183694,256.87111271358697,0.8168372801068602,38451.22557565553,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,base,5,4,8839343.082508229,605.4344577060431,2.113189135699879,58983.6985568935,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,base,10,4,19594490.31608245,1342.0883778138666,5.035367447059767,70993.5490069607,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,base,14,4,31945522.67160164,2188.0494980549065,8.448631225172738,74329.49010833571,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,high,2,4,20054543.99555011,1373.5989038048021,4.453006243210492,192256.8405736258,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,high,5,4,47779403.88930854,3272.5619102266123,11.580108463627093,294920.4525193179,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,high,10,4,106406179.61600707,7288.09449424706,27.564446788220803,354972.35877307,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,high,14,4,173231446.10305297,11865.167541304998,46.06660697669377,371654.83885250136,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,True,low,2,5,699329.7741470748,47.89929959911471,0.1848624424074008,1930.9206060717206,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,low,5,5,2220900.9182880144,152.1165012526037,0.6063065193518692,2978.1063126707227,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,low,10,5,6844562.547394739,468.80565393114654,1.902508270879495,3644.560247262728,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,low,14,5,12681406.907638354,868.5895142218051,3.5423030963655635,3895.655159056994,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,base,2,5,15957794.94051646,1092.9996534600316,4.254505528278398,38643.54268044835,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,base,5,5,51608078.891547464,3534.7999240785934,14.157359402235027,59657.498292084274,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,base,10,5,161786790.0710837,11081.286991170116,45.07826084080075,73233.71087514196,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,base,14,5,301318818.79420406,20638.27525987699,84.30696023564278,78573.3127103201,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,high,2,5,105506880.85983674,7226.498689029914,28.51668398041125,193603.0603071755,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,high,5,5,347160554.55258316,23778.12017483446,95.88930032937311,299637.05066565337,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,high,10,5,1101752277.9010158,75462.4847877408,307.86470054440775,370653.49185033876,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,high,14,5,2058844518.96127,141016.7478740596,577.074910049984,401361.5970663921,14600.0,10000,250,High-throughput molecular screening,3500000,365,B_screening_plus_countermeasures_with_avian
