pathogen,prevalence_tier,follow_up_modality,wbe_false_positive_rate,follow_up_coverage,avg_pax_per_flight,horizon_days,n_total,icu_fraction,icu_los_days,wbe_detection_prob_q,wbe_cost_per_sample,uc_total_cost,wbe_total_cost,delta_c_wbe_minus_uc,wbe_cheaper
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.3,15,496820393.8074452,1168286913.4664202,671466519.6589749,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.3,25,496820393.8074452,1168431080.1306658,671610686.3232205,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.3,40,496820393.8074452,1168647330.1270294,671826936.3195841,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.3,60,496820393.8074452,1168935663.4555159,672115269.6480706,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.3,100,496820393.8074452,1169512330.1124902,672691936.3050449,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.3,150,496820393.8074452,1170233163.4337087,673412769.6262634,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.35,10,496820393.8074452,1141379102.9952774,644558709.1878321,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.35,15,496820393.8074452,1141451186.327399,644630792.5199537,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.35,25,496820393.8074452,1141595352.991644,644774959.1841986,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.35,40,496820393.8074452,1141811602.9880104,644991209.1805651,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.35,60,496820393.8074452,1142099936.316496,645279542.5090506,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.35,100,496820393.8074452,1142676602.9734702,645856209.1660249,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.35,150,496820393.8074452,1143397436.2946877,646577042.4872425,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.4,10,496820393.8074452,1116585736.6988645,619765342.8914192,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.4,15,496820393.8074452,1116657820.0309854,619837426.2235401,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.4,25,496820393.8074452,1116801986.695229,619981592.8877838,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.4,40,496820393.8074452,1117018236.6915944,620197842.8841491,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.4,60,496820393.8074452,1117306570.0200815,620486176.2126362,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.4,100,496820393.8074452,1117883236.6770554,621062842.8696101,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.4,150,496820393.8074452,1118604069.9982734,621783676.1908281,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.45,10,496820393.8074452,1093670425.3482375,596850031.5407922,False
