scenario,avian_included,prob_scenario,lead_days,n_threats,portfolio_ev,cost_per_arriving_flight,expected_deaths_averted_per_year,expected_infections_averted_per_year,flights_per_year,n_total_arrivals_per_day,avg_pax_per_flight,response_modality,vsl,horizon_days,avian_pct,portfolio_view
A_screening_only,False,low,2,4,145841.87361065572,9.989169425387377,0.03384050838583317,1091.6892970268204,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,A_screening_only_without_avian
A_screening_only,False,low,5,4,284081.87843054795,19.457662906201914,0.07023105596936945,1441.4870727010477,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,A_screening_only_without_avian
A_screening_only,False,low,10,4,435285.21322314464,29.814055700215388,0.11187316685635051,1556.1791798947638,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,A_screening_only_without_avian
A_screening_only,False,low,14,4,514800.71746718534,35.260323114190776,0.134186161495296,1573.3477846332337,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,A_screening_only_without_avian
A_screening_only,False,base,2,4,2569821.4816593397,176.0151699766671,0.580974727613447,21824.35816819636,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,A_screening_only_without_avian
A_screening_only,False,base,5,4,4923236.1688392265,337.20795676981004,1.1950286180296892,28809.5272171014,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,A_screening_only_without_avian
A_screening_only,False,base,10,4,7472858.513505025,511.83962421267296,1.896362434627623,31091.668962188996,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,A_screening_only_without_avian
A_screening_only,False,base,14,4,8813775.765561402,603.6832716137947,2.2732489991931257,31429.36629925598,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,A_screening_only_without_avian
A_screening_only,False,high,2,4,13909417.090246664,952.6998007018263,3.20365540220699,109122.36819704775,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,A_screening_only_without_avian
A_screening_only,False,high,5,4,27036680.975715835,1851.8274640901257,6.657287811001127,144048.95423955692,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,A_screening_only_without_avian
