scenario,avian_included,prob_scenario,lead_days,threat_class,representative_pathogen,panel_target,avian_influenza,avian_influenza_label,probability_note,annual_event_probability,useful_warning_probability_given_event,combined_prob,conditional_Bd,expected_annual_contribution,expected_deaths_averted_per_year,expected_infections_averted_per_year,cost_per_arriving_flight_contribution,pct_of_portfolio_ev,portfolio_view
A_screening_only,False,base,2,Ebola-like viral haemorrhagic fever,Ebola,filovirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.2,0.001,353436560.6499882,353436.5606499882,0.09959392137991804,0.1924520219901728,24.207983606163573,13.75335069663179,A_screening_only_without_avian
A_screening_only,False,base,2,Mpox-like orthopoxvirus,Mpox,orthopoxvirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.2,0.004,105523812.04786122,422095.2481914449,0.11845655274893503,2.3930616716956505,28.910633437770198,16.425080543684185,A_screening_only_without_avian
A_screening_only,False,base,2,High-burden enteric outbreak,Norovirus,enteric virus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.1,0.2,0.020000000000000004,41416047.939712554,828320.9587942512,0.09803904582066354,21786.45462681415,56.73431224618159,32.23262645697095,A_screening_only_without_avian
A_screening_only,False,base,5,SARS-like respiratory virus,SARS-CoV-2,sarbecovirus/coronavirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.2,0.004,514963782.718466,2059855.130873864,0.5650087329718276,75.33449772957589,141.08596786807288,41.83945397361519,A_screening_only_without_avian
A_screening_only,False,base,5,Ebola-like viral haemorrhagic fever,Ebola,filovirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.2,0.001,806833377.1732329,806833.377173233,0.22738157361756017,0.43938468331896713,55.26256008035842,16.388272865720836,A_screening_only_without_avian
A_screening_only,False,base,5,Mpox-like orthopoxvirus,Mpox,orthopoxvirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.2,0.004,243437617.05326664,973750.4682130666,0.27336127245897174,5.522449948666097,66.69523754884018,19.778666609094483,A_screening_only_without_avian
A_screening_only,False,base,5,High-burden enteric outbreak,Norovirus,enteric virus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.1,0.2,0.020000000000000004,54139859.62895316,1082797.1925790634,0.1292770389813295,28728.230884739838,74.16419127253859,21.9936065515695,A_screening_only_without_avian
A_screening_only,False,base,10,SARS-like respiratory virus,SARS-CoV-2,sarbecovirus/coronavirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.2,0.004,805964357.9865174,3223857.43194607,0.8847668321155372,117.9689109487418,220.81215287301848,43.14088679880507,A_screening_only_without_avian
A_screening_only,False,base,10,Ebola-like viral haemorrhagic fever,Ebola,filovirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.2,0.001,1392881958.856351,1392881.958856351,0.3926241918663443,0.7586940905629954,95.40287389427061,18.639212241729464,A_screening_only_without_avian
A_screening_only,False,base,10,Mpox-like orthopoxvirus,Mpox,orthopoxvirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.2,0.004,426881392.9713511,1707525.5718854044,0.47963677788201187,9.689631876404288,116.95380629352086,22.849697592956524,A_screening_only_without_avian
A_screening_only,False,base,10,High-burden enteric outbreak,Norovirus,enteric virus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.1,0.2,0.020000000000000004,57429677.54085997,1148593.5508171995,0.13933463276372965,30963.251725273287,78.67079115186299,15.370203366508942,A_screening_only_without_avian
A_screening_only,False,base,14,SARS-like respiratory virus,SARS-CoV-2,sarbecovirus/coronavirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.2,0.004,943137669.2712979,3772550.677085192,1.035857673584124,138.11435647788696,258.3938819921364,42.80288922059837,A_screening_only_without_avian
A_screening_only,False,base,14,Ebola-like viral haemorrhagic fever,Ebola,filovirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.2,0.001,1740143255.0663261,1740143.2550663261,0.4906008031705923,0.9480208756919765,119.18789418262507,19.743448226419524,A_screening_only_without_avian
A_screening_only,False,base,14,Mpox-like orthopoxvirus,Mpox,orthopoxvirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.2,0.004,539100914.5110083,2156403.658044033,0.6060392492670545,12.243217156910184,147.69888068794748,24.46628681512275,A_screening_only_without_avian
A_screening_only,False,base,14,High-burden enteric outbreak,Norovirus,enteric virus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.1,0.2,0.020000000000000004,57233908.768292546,1144678.1753658513,0.14075127317135477,31278.06070474549,78.40261475108571,12.987375737859379,A_screening_only_without_avian
A_screening_only,False,high,2,SARS-like respiratory virus,SARS-CoV-2,sarbecovirus/coronavirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.05,0.4,0.020000000000000004,241492178.50591385,4829843.570118278,1.3244260383196527,176.59013844261457,330.81120343275876,34.7235512371326,A_screening_only_without_avian
A_screening_only,False,high,2,Ebola-like viral haemorrhagic fever,Ebola,filovirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.4,0.008,353436560.6499882,2827492.4851999055,0.7967513710393443,1.5396161759213824,193.66386884930859,20.327900636343372,A_screening_only_without_avian
A_screening_only,False,high,2,Mpox-like orthopoxvirus,Mpox,orthopoxvirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.05,0.4,0.020000000000000004,105523812.04786122,2110476.2409572247,0.5922827637446753,11.965308358478255,144.553167188851,15.173002774049378,A_screening_only_without_avian
A_screening_only,False,high,2,High-burden enteric outbreak,Norovirus,enteric virus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.25,0.4,0.1,41416047.939712554,4141604.7939712554,0.4901952291033176,108932.27313407074,283.6715612309079,29.77554535247465,A_screening_only_without_avian
A_screening_only,False,high,5,SARS-like respiratory virus,SARS-CoV-2,sarbecovirus/coronavirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.05,0.4,0.020000000000000004,514963782.718466,10299275.654369323,2.825043664859139,376.6724886478795,705.4298393403645,38.09371299539342,A_screening_only_without_avian
A_screening_only,False,high,5,Ebola-like viral haemorrhagic fever,Ebola,filovirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.4,0.008,806833377.1732329,6454667.017385864,1.8190525889404814,3.515077466551737,442.10048064286735,23.873740357344168,A_screening_only_without_avian
A_screening_only,False,high,5,Mpox-like orthopoxvirus,Mpox,orthopoxvirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.05,0.4,0.020000000000000004,243437617.05326664,4868752.341065334,1.3668063622948587,27.61224974333049,333.47618774420096,18.007951291944504,A_screening_only_without_avian
A_screening_only,False,high,5,High-burden enteric outbreak,Norovirus,enteric virus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.25,0.4,0.1,54139859.62895316,5413985.962895316,0.6463851949066474,143641.15442369916,370.82095636269287,20.024595355317917,A_screening_only_without_avian
A_screening_only,False,high,10,SARS-like respiratory virus,SARS-CoV-2,sarbecovirus/coronavirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.05,0.4,0.020000000000000004,805964357.9865174,16119287.159730352,4.423834160577687,589.8445547437091,1104.0607643650926,38.80150938630077,A_screening_only_without_avian
A_screening_only,False,high,10,Ebola-like viral haemorrhagic fever,Ebola,filovirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.4,0.008,1392881958.856351,11143055.670850808,3.1409935349307543,6.069552724503963,763.2229911541649,26.822983852830774,A_screening_only_without_avian
A_screening_only,False,high,10,Mpox-like orthopoxvirus,Mpox,orthopoxvirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.05,0.4,0.020000000000000004,426881392.9713511,8537627.859427024,2.3981838894100598,48.44815938202145,584.7690314676043,20.55133358203926,A_screening_only_without_avian
A_screening_only,False,high,10,High-burden enteric outbreak,Norovirus,enteric virus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.25,0.4,0.1,57429677.54085997,5742967.754085997,0.6966731638186481,154816.2586263664,393.3539557593149,13.824173178829215,A_screening_only_without_avian
A_screening_only,False,high,14,SARS-like respiratory virus,SARS-CoV-2,sarbecovirus/coronavirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.05,0.4,0.020000000000000004,943137669.2712979,18862753.385425963,5.179288367920622,690.5717823894349,1291.9694099606825,38.26946233143659,A_screening_only_without_avian
A_screening_only,False,high,14,Ebola-like viral haemorrhagic fever,Ebola,filovirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.4,0.008,1740143255.0663261,13921146.040530609,3.9248064253647383,7.584167005535812,953.5031534610006,28.2437438014823,A_screening_only_without_avian
A_screening_only,False,high,14,Mpox-like orthopoxvirus,Mpox,orthopoxvirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.05,0.4,0.020000000000000004,539100914.5110083,10782018.290220167,3.030196246335273,61.21608578455093,738.4944034397375,21.874963552948085,A_screening_only_without_avian
A_screening_only,False,high,14,High-burden enteric outbreak,Norovirus,enteric virus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.25,0.4,0.1,57233908.768292546,5723390.876829255,0.7037563658567738,156390.30352372743,392.0130737554284,11.611830314133051,A_screening_only_without_avian
