pathogen,countermeasure_status,trigger_day,reduction_strength,ramp_days,post_intervention_Rt,winner,winner_key,cost_none,cost_rapid,cost_lab,cost_molecular
Influenza A/B,swept,14,0.8,7,0.3,High-throughput molecular screening,molecular,189376116.5236554,106644673.50613889,366103965.46349084,77770636.97641596
Influenza A/B,swept,14,0.8,14,0.3,High-throughput molecular screening,molecular,201972226.46954465,110760004.55128855,366484718.1899973,78151389.70292269
Influenza A/B,swept,14,0.8,21,0.3,High-throughput molecular screening,molecular,217184229.245514,115738478.36989267,366945674.6660377,78612346.17896292
Influenza A/B,swept,21,0.4,7,0.75,High-throughput molecular screening,molecular,520107171.8815795,217381808.50035655,376464736.34533584,88131407.85826112
Influenza A/B,swept,21,0.4,14,0.75,High-throughput molecular screening,molecular,553766416.3047625,228951514.3779789,377560530.3179302,89227201.8308552
Influenza A/B,swept,21,0.4,21,0.75,High-throughput molecular screening,molecular,595254378.3615892,243320571.06625706,378926330.547889,90593002.06081389
Influenza A/B,swept,21,0.6,7,0.5,High-throughput molecular screening,molecular,292888339.80116636,140601255.61548427,369251293.9504805,80917965.46340548
Influenza A/B,swept,21,0.6,14,0.5,High-throughput molecular screening,molecular,318041019.6835992,148914683.68689555,370024400.087491,81691071.60041587
Influenza A/B,swept,21,0.6,21,0.5,High-throughput molecular screening,molecular,348001033.36594504,158860400.4999334,370951096.6808945,82617768.19381933
Influenza A/B,swept,21,0.8,7,0.3,High-throughput molecular screening,molecular,223153399.50401488,117693097.30333832,367126696.30146676,78793367.81439202
Influenza A/B,swept,21,0.8,14,0.3,High-throughput molecular screening,molecular,245089568.76463988,124893885.91901822,367794301.17228514,79460972.68521017
Influenza A/B,swept,21,0.8,21,0.3,High-throughput molecular screening,molecular,270579596.66983926,133289848.13085511,368573885.18000585,80240556.6929312
Influenza A/B,swept,35,0.4,7,0.75,High-throughput molecular screening,molecular,730754110.7919537,290974953.10080796,383489862.94275975,95156534.45568481
Influenza A/B,swept,35,0.4,14,0.75,High-throughput molecular screening,molecular,815157992.7078046,321362149.98957664,386433159.2577431,98099830.77066849
Influenza A/B,swept,35,0.4,21,0.75,High-throughput molecular screening,molecular,913960907.9375435,357669602.0930874,389986025.49478096,101652697.007706
Influenza A/B,swept,35,0.6,7,0.5,High-throughput molecular screening,molecular,461359695.167508,196874113.9523172,374509131.47943676,86175802.99236158
Influenza A/B,swept,35,0.6,14,0.5,High-throughput molecular screening,molecular,526122838.499891,218934280.76103917,376588539.04285336,88255210.55577901
Influenza A/B,swept,35,0.6,21,0.5,High-throughput molecular screening,molecular,599902991.6452988,244399165.77555,379003376.37909913,90670047.89202419
Influenza A/B,swept,35,0.8,7,0.3,High-throughput molecular screening,molecular,376927466.307146,168632644.49897724,371868561.75378364,83535233.26670894
