pathogen,n_iter,icu_fraction,icu_los_days,seed,test_cost_draws_propagated,none_mean_test_cost,none_mean_programme_cost,none_mean_cost,none_median_cost,none_ci_lo,none_ci_hi,none_prob_cost_minimising,rapid_mean_test_cost,rapid_mean_programme_cost,rapid_mean_cost,rapid_median_cost,rapid_ci_lo,rapid_ci_hi,rapid_prob_cost_minimising,lab_mean_test_cost,lab_mean_programme_cost,lab_mean_cost,lab_median_cost,lab_ci_lo,lab_ci_hi,lab_prob_cost_minimising,molecular_mean_test_cost,molecular_mean_programme_cost,molecular_mean_cost,molecular_median_cost,molecular_ci_lo,molecular_ci_hi,molecular_prob_cost_minimising,none_incremental_vs_none_mean,rapid_incremental_vs_none_mean,lab_incremental_vs_none_mean,molecular_incremental_vs_none_mean
SARS-CoV-2,10000,0.15,7,20260811,False,0.0,0.0,6498358058.5517,3932167473.8638153,766439406.5166473,28228257764.64568,0.0,12.48216927775855,45052082.57610543,2273284905.9657226,1265786395.8389626,236883736.26910648,10243010451.62143,0.0,99.707391834746,360416660.60884345,587372269.6576012,473922103.4255812,378770553.2167838,1338619190.5582013,0.0222,20.08620330519832,72083332.12176865,295597232.08083254,184944386.339176,90609923.80665497,1067203128.976529,0.9778,0.0,-4225073152.585977,-5910985788.894098,-6202760826.470867
Influenza A/B,10000,0.17,5,20260812,False,0.0,0.0,540087618.8369943,442611397.507414,106534178.34711067,1522574893.6434665,0.0037,12.470505361173482,45052082.57610543,220259053.63269404,180741842.1092292,72234049.78265528,605752421.8311704,0.0357,100.2811001283517,360416660.60884345,376722484.7768915,372902769.16916597,363042002.8272959,412442732.06375384,0.0,19.96757363655416,72083332.12176865,88402122.64319664,84582386.31709158,74659245.92125478,124045168.85297073,0.9606,0.0,-319828565.2043003,-163365134.06010276,-451685496.19379765
Mpox,10000,0.07,5,20260813,False,0.0,0.0,6943977464.284929,5569671688.552732,1244909712.580984,21054128593.676704,0.0,12.465808049178912,45052082.57610543,2283759645.92987,1726578615.5791695,342626886.33553123,7261233603.051746,0.0003,100.06870048598614,360416660.60884345,568576565.6555378,518426659.99143386,390120607.98874164,1036168503.8862447,0.0187,19.995466647086285,72083332.12176865,280100282.2316588,228276438.556044,101432468.25399157,765419430.1771066,0.981,0.0,-4660217818.355059,-6375400898.629392,-6663877182.05327
Norovirus,10000,0.03,2,20260814,False,0.0,0.0,232218611.78652725,222055676.7491104,22783909.384596895,530894577.15777993,0.2425,12.56347180841826,45052082.57610543,228272010.77011484,208086342.9538867,52159955.97690591,536828952.6641376,0.0311,100.00361451244213,360416660.60884345,457301533.50246316,401688185.2724911,361091902.36595404,768693276.0062877,0.0,19.928757347279223,72083332.12176865,169178887.07805768,112665576.78305882,72759454.38979942,479647036.80753815,0.7264,0.0,-3946601.016412407,225082921.71593592,-63039724.70846957
Ebola,10000,0.35,10,20260815,False,0.0,0.0,21090703266.2125,16826358588.440819,3610165461.4283266,62368159554.15395,0.0,12.408611080605395,45052082.57610543,6862809615.245785,5185366280.480511,995034751.6176372,22525330761.93764,0.0,100.39201803165214,360416660.60884345,996609834.0348951,838133934.0812802,450078915.5216014,2432131532.8803086,0.1235,20.02222171848482,72083332.12176865,700116841.6713066,541567175.768667,163679517.27048776,2166597623.581132,0.8765,0.0,-14227893650.966717,-20094093432.177605,-20390586424.541195
Diphtheria,10000,,,20260816,False,0.0,0.0,67318583229.6211,733544580.9905734,55068599.35031415,867927237321.4092,0.038,12.448824325650685,45052082.57610543,48229945463.43664,273316597.1599861,59201911.362410955,683151275674.7651,0.0684,99.85881013984346,360416660.60884345,25262103619.07847,381521542.1749499,361786850.30396765,233843485221.69882,0.0704,19.97804945218265,72083332.12176865,25122816594.97545,93572514.6750116,73395985.13614921,248887747964.19852,0.8232,0.0,-19088637766.184464,-42056479610.54263,-42195766634.64565
